id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
100137,1,4,Week day lunch,6,The Avengers,Water,Parents,None,Pizza
100274,2,5,Week day dinner,7,Inception,Soda,Friends,A little (mild),Sushi
100411,3,6,Weekend lunch;At a party,8,Titanic,Coke,Siblings;Friends,A moderate amount (medium),Shawarma
100548,4,7,Late night snack,9,Spider-Man,Pepsi,Teachers,A lot (hot),Pizza
100685,5,8,Week day lunch;Week day dinner;Weekend lunch,10,The Matrix,Lemonade,Strangers,I will have some of this food item with my hot sauce,Sushi
100822,1,9,Weekend dinner;At a party,11,Jurassic Park,Iced Tea,Parents,None,Shawarma
100959,2,10,Week day lunch,12,Star Wars,Beer,Friends,A little (mild),Pizza
101096,3,11,Week day dinner,13,Toy Story,Wine,Siblings;Friends,A moderate amount (medium),Sushi
101233,4,12,Weekend lunch;At a party,14,Avatar,Orange juice,Teachers,A lot (hot),Shawarma
101370,5,13,Late night snack,15,Interstellar,Coffee,Strangers,I will have some of this food item with my hot sauce,Pizza
101507,1,3,Week day lunch;Week day dinner;Weekend lunch,16,Pulp Fiction,Water,Parents,None,Sushi
101644,2,4,Weekend dinner;At a party,17,The Godfather,Soda,Friends,A little (mild),Shawarma
101781,3,5,Week day lunch,18,Forrest Gump,Coke,Siblings;Friends,A moderate amount (medium),Pizza
101918,4,6,Week day dinner,19,Gladiator,Pepsi,Teachers,A lot (hot),Sushi
102055,5,7,Weekend lunch;At a party,20,Casablanca,Lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
102192,1,8,Late night snack,21,The Avengers,Iced Tea,Parents,None,Pizza
102329,2,9,Week day lunch;Week day dinner;Weekend lunch,5,Inception,Beer,Friends,A little (mild),Sushi
102466,3,10,Weekend dinner;At a party,6,Titanic,Wine,Siblings;Friends,A moderate amount (medium),Shawarma
102603,4,11,Week day lunch,7,Spider-Man,Orange juice,Teachers,A lot (hot),Pizza
102740,5,12,Week day dinner,8,The Matrix,Coffee,Strangers,I will have some of this food item with my hot sauce,Sushi
102877,1,13,Weekend lunch;At a party,9,Jurassic Park,Water,Parents,None,Shawarma
